Name,Glossary,Rules,内含规则,所属规则
获得能力,Obtaining Abilities,,"掌握能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%8C%E6%8F%A1%E8%83%BD%E5%8A%9B%201bbd619a067b8027b2c4c36ed02b8d05.csv), 属性占用 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B1%9E%E6%80%A7%E5%8D%A0%E7%94%A8%201b3d619a067b8028a794de6ceed96ec0.csv), 修行 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BF%AE%E8%A1%8C%201b3d619a067b8027a1ece32be2309cd4.csv)",能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%201b3d619a067b80139849d21869c19f49.csv)
放弃能力,Renouncing Abilities,,,能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%201b3d619a067b80139849d21869c19f49.csv)
属性占用,Sustaining Abilities,,,获得能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%8E%B7%E5%BE%97%E8%83%BD%E5%8A%9B%201b3d619a067b8027ba38e2c1caf9d84b.csv)
修行,Improving Abilities,,,获得能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%8E%B7%E5%BE%97%E8%83%BD%E5%8A%9B%201b3d619a067b8027ba38e2c1caf9d84b.csv)
能力作用,Ability Effect,,"施展能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%96%BD%E5%B1%95%E8%83%BD%E5%8A%9B%201b3d619a067b80f38dccf027f026b32f.csv), 被动能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A2%AB%E5%8A%A8%E8%83%BD%E5%8A%9B%201b3d619a067b8041a000ebc294fff708.csv)",能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%201b3d619a067b80139849d21869c19f49.csv)
施展能力,Casting Abilities,,,能力作用 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E4%BD%9C%E7%94%A8%201b3d619a067b80dc8bc6e50b0d9f7a33.csv)
被动能力,Passive Abilities,,,能力作用 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E4%BD%9C%E7%94%A8%201b3d619a067b80dc8bc6e50b0d9f7a33.csv)
能力类型,Ability Classes,,"强壮能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%BC%BA%E5%A3%AE%E8%83%BD%E5%8A%9B%201b3d619a067b80089c70f2604ff1be50.csv), 活力能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%B4%BB%E5%8A%9B%E8%83%BD%E5%8A%9B%201b3d619a067b802bba72ceb9ad2ffd74.csv), 精神能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%B2%BE%E7%A5%9E%E8%83%BD%E5%8A%9B%201b3d619a067b80f1af45d277c39725a9.csv), 通用能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%80%9A%E7%94%A8%E8%83%BD%E5%8A%9B%201b3d619a067b80469dcfc806aec1a8cb.csv), 天赋能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A4%A9%E8%B5%8B%E8%83%BD%E5%8A%9B%201b3d619a067b805aa8e3e8012ea14e4e.csv), 异能 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%BC%82%E8%83%BD%201b3d619a067b80ce8170d6ce0851411f.csv), 技巧 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8A%80%E5%B7%A7%201b3d619a067b806da6c0e4c815b942d3.csv), 学识 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%AD%A6%E8%AF%86%201b3d619a067b80b4be92c574c54e2190.csv), 魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)",能力 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%201b3d619a067b80139849d21869c19f49.csv)
强壮能力,Ability of Might,,,能力类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E7%B1%BB%E5%9E%8B%201b3d619a067b8061a2f4ce7a2d5ce1ca.csv)
活力能力,Ability of Agility,,,能力类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E7%B1%BB%E5%9E%8B%201b3d619a067b8061a2f4ce7a2d5ce1ca.csv)
精神能力,Ability of Spirit,,,能力类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E7%B1%BB%E5%9E%8B%201b3d619a067b8061a2f4ce7a2d5ce1ca.csv)
通用能力,Common Ability,,,能力类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E7%B1%BB%E5%9E%8B%201b3d619a067b8061a2f4ce7a2d5ce1ca.csv)
天赋能力,Gifted Ability,,,能力类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E7%B1%BB%E5%9E%8B%201b3d619a067b8061a2f4ce7a2d5ce1ca.csv)
异能,Power,,,能力类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E7%B1%BB%E5%9E%8B%201b3d619a067b8061a2f4ce7a2d5ce1ca.csv)
技巧,Stunt,,,能力类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E7%B1%BB%E5%9E%8B%201b3d619a067b8061a2f4ce7a2d5ce1ca.csv)
学识,Lore,,,能力类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E7%B1%BB%E5%9E%8B%201b3d619a067b8061a2f4ce7a2d5ce1ca.csv)
魔法,Magic,,"咒语 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%92%92%E8%AF%AD%201b3d619a067b80d5a607d46d4ed01d21.csv), 法术 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%B3%95%E6%9C%AF%201b3d619a067b805fbba8f74a2f6e6ca0.csv), 符文 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%AC%A6%E6%96%87%201b3d619a067b80c7a670d1c70dde8393.csv), 图腾 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%9B%BE%E8%85%BE%201b3d619a067b803b82c6d13a542fec03.csv), 炼金 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%82%BC%E9%87%91%201b3d619a067b800f8148c3d9c22fc40d.csv), 仪式 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BB%AA%E5%BC%8F%201b3d619a067b801db593da81f19b4860.csv), 自然魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%87%AA%E7%84%B6%E9%AD%94%E6%B3%95%201b3d619a067b8089bd5de5dde97877cb.csv), 奥秘魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A5%A5%E7%A7%98%E9%AD%94%E6%B3%95%201b3d619a067b801eb2a1c56919f458a0.csv), 巫术魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B7%AB%E6%9C%AF%E9%AD%94%E6%B3%95%201b3d619a067b802b905eda960081dedf.csv), 神灵魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%A5%9E%E7%81%B5%E9%AD%94%E6%B3%95%201b3d619a067b80018ddde3dd9b5c5022.csv), 秘术魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%A7%98%E6%9C%AF%E9%AD%94%E6%B3%95%201b3d619a067b809faca2db70f7440edf.csv), 孤立魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%AD%A4%E7%AB%8B%E9%AD%94%E6%B3%95%201b3d619a067b802587dafa389f0c79b7.csv)",能力类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%83%BD%E5%8A%9B%E7%B1%BB%E5%9E%8B%201b3d619a067b8061a2f4ce7a2d5ce1ca.csv)
咒语,Incantation,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
法术,Gesture,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
符文,Sigil,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
图腾,Totem,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
炼金,Alchemy,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
仪式,Ritual,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
自然魔法,Primagic,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
奥秘魔法,Arcanum,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
巫术魔法,Sorcery,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
神灵魔法,Divine Spell,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
秘术魔法,Esoterica,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
孤立魔法,Uncharted Magic,,,魔法 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%201b3d619a067b80b3bb79dfeb34f69bbc.csv)
玩家角色,Player Character,,,角色 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%92%E8%89%B2%201b3d619a067b801b8c3fee60f31a5235.csv)
非玩家角色,Non-player Character,,,角色 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%92%E8%89%B2%201b3d619a067b801b8c3fee60f31a5235.csv)
携带,Carrying Items,,,物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
装备,Equipping,,"占据 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%8D%A0%E6%8D%AE%201b3d619a067b8021ba8fe7cef8b96857.csv), 套装 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A5%97%E8%A3%85%201b3d619a067b8097bfd2c9453b4c9620.csv), 卸下 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%8D%B8%E4%B8%8B%201b3d619a067b80b9b74bf84b6576deae.csv)",物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
卸下,Taking off,,,装备 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A3%85%E5%A4%87%201b3d619a067b80f99057fe3412922dd5.csv)
占据,Slot Taking,,,装备 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A3%85%E5%A4%87%201b3d619a067b80f99057fe3412922dd5.csv)
套装,Tier,扩展,,装备 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A3%85%E5%A4%87%201b3d619a067b80f99057fe3412922dd5.csv)
加装,Installing Addons,扩展,移除 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%A7%BB%E9%99%A4%201b3d619a067b800ca4e8e12e7e811815.csv),物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
移除,Removing Addons,扩展,,加装 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%8A%A0%E8%A3%85%201b3d619a067b8046978ac32c46f0bce4.csv)
使用,Using Items,,借助 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%80%9F%E5%8A%A9%201bbd619a067b803db295eb9bc8947d28.csv),物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
装填,Reloading,,充能 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%85%85%E8%83%BD%201b3d619a067b8070b1c2f929944deec5.csv),物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
充能,Recharging,,,装填 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A3%85%E5%A1%AB%201b3d619a067b802780a7f5d5de199883.csv)
交换,Exchanging,,给予 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%BB%99%E4%BA%88%201b3d619a067b803d8735d9d70bc19018.csv),物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
给予,Giving away,,,交换 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BA%A4%E6%8D%A2%201b3d619a067b802e95c4fc4181050705.csv)
丢弃,Discarding,,掉落 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8E%89%E8%90%BD%201b3d619a067b80e1a006e50ba20df484.csv),物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
掉落,Dropping,,,丢弃 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%B8%A2%E5%BC%83%201b3d619a067b8092ad1ce0f165f197de.csv)
拾取,Picking up,,,物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
销毁,Disposing,,消耗 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%B6%88%E8%80%97%201b3d619a067b80789d16e44120e1be39.csv),物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
消耗,Consuming,,,销毁 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%94%80%E6%AF%81%201b3d619a067b80eea73dded4e8ad308f.csv)
制造,Crafting,扩展,,物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
价值,Value,,价格 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BB%B7%E6%A0%BC%201b3d619a067b806d966ff72f1838e3f4.csv),物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
价格,Price,,,价值 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E4%BB%B7%E5%80%BC%201b3d619a067b802da10cc6f1c13b92c1.csv)
腐坏,Rotting,扩展,过期 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%BF%87%E6%9C%9F%201b3d619a067b8069b3fffde87e8ff54b.csv),物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
过期,Expiring,扩展,,腐坏 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%85%90%E5%9D%8F%201b3d619a067b8039b1fecba63b680faf.csv)
规格,Item Size,,"琐碎 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%90%90%E7%A2%8E%201b3d619a067b80609963e9f15016945e.csv), 轻型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%BD%BB%E5%9E%8B%201b3d619a067b80ed9b72ef7a737ed67e.csv), 重型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%87%8D%E5%9E%8B%201b3d619a067b80e5aaa3c3c7a260257c.csv)",物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
琐碎,Travial Items,,,规格 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%84%E6%A0%BC%201b3d619a067b80f6876ce01b983501a0.csv)
轻型,Light Items,,,规格 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%84%E6%A0%BC%201b3d619a067b80f6876ce01b983501a0.csv)
重型,Heavy Items,,,规格 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%84%E6%A0%BC%201b3d619a067b80f6876ce01b983501a0.csv)
物品类型,Item Types,,"防具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E5%85%B7%201b3d619a067b80938abaef71568c2e0a.csv), 武器 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%AD%A6%E5%99%A8%201b3d619a067b80529a70eee1166b41ef.csv), 饰品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%A5%B0%E5%93%81%201b3d619a067b8007b62ec0597aadddb2.csv), 其他物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%85%B6%E4%BB%96%E7%89%A9%E5%93%81%201b3d619a067b80a5a28af4625474cc02.csv), 魔法物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%AD%94%E6%B3%95%E7%89%A9%E5%93%81%201b3d619a067b8086a5dec35ce5119ec9.csv), 唯一物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%94%AF%E4%B8%80%E7%89%A9%E5%93%81%201b3d619a067b80b98959c871493cae99.csv)",物品 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%201b3d619a067b803f863edfb283e94d9a.csv)
防具,Protection Wears,,"头盔 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A4%B4%E7%9B%94%201b3d619a067b803b96f6f5cd75b737d6.csv), 护甲 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8A%A4%E7%94%B2%201b3d619a067b8095b845ca40a26a2b8f.csv), 鞋靴 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%9E%8B%E9%9D%B4%201b3d619a067b808c8c4fe1a5246a656b.csv), 鞍具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%9E%8D%E5%85%B7%201b3d619a067b801e84a2c5d4594564c8.csv), 异种防具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%BC%82%E7%A7%8D%E9%98%B2%E5%85%B7%201b3d619a067b80fb8147dbd82dac2838.csv), 天生防具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A4%A9%E7%94%9F%E9%98%B2%E5%85%B7%201b3d619a067b8078acc6ddc9bfa6e7b4.csv)",物品类型 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%89%A9%E5%93%81%E7%B1%BB%E5%9E%8B%201b3d619a067b8063bc84f2a21508a227.csv)
头盔,Helmet,,,防具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E5%85%B7%201b3d619a067b80938abaef71568c2e0a.csv)
护甲,Armour,,,防具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E5%85%B7%201b3d619a067b80938abaef71568c2e0a.csv)
鞋靴,Boots,,,防具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E5%85%B7%201b3d619a067b80938abaef71568c2e0a.csv)
鞍具,Saddle,,,防具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E5%85%B7%201b3d619a067b80938abaef71568c2e0a.csv)
异种防具,Exotic Protection,,,防具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E5%85%B7%201b3d619a067b80938abaef71568c2e0a.csv)
天生防具,Natural Protection,,,防具 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E9%98%B2%E5%85%B7%201b3d619a067b80938abaef71568c2e0a.csv)
